Navios = {1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50};
Mares = {1 2 3 4 5 6 7 8 9 10 11 12 13 14 15};
Cargas = {"Bauxita", "AluminaCalcinada", "CarvaoMineralROM", "CarvaoMineralSIZED", "CoqueBP", "CoquePetroleoCalcinado", "PicheSolidoTipoLapis", "SodaCausticaEstoque"};
Bercos = {1 2 3};
vazao = [11150 11150 11150];
chegada = [3 4 6 8 13 27 27 28 46 55 60 61 69 75 76 76 78 81 86 87 88 89 90 112 112 122 129 136 139 139 141 144 149 153 159 177 179 179 180 184 189 191 197 200 209 213 215 227 236 237];
estoque = [144290 89850 55930 12140 9080 14320 7440 37490];
consumo = [5220 0 180 90 130 80 50 170];
carregamento = [
[42500 0 0 0 0 0 0 0]
[0 33600 0 0 0 0 0 0]
[0 13200 0 0 0 0 0 0]
[0 29300 0 0 0 0 0 0]
[42000 0 0 0 0 0 0 0]
[42500 0 0 0 0 0 0 0]
[42000 0 0 0 0 0 0 0]
[0 26000 0 0 0 0 0 0]
[42500 0 0 0 0 0 0 0]
[42000 0 0 0 0 0 0 0]
[0 0 0 0 0 0 5000 0]
[43000 0 0 0 0 0 0 0]
[42700 0 0 0 0 0 0 0]
[0 12600 0 0 0 0 0 0]
[0 12600 0 0 0 0 0 0]
[0 0 0 22300 0 0 0 0]
[0 0 0 0 0 0 0 20900]
[42400 0 0 0 0 0 0 0]
[0 27900 0 0 0 0 0 0]
[0 0 0 0 10500 0 0 0]
[42700 0 0 0 0 0 0 0]
[42400 0 0 0 0 0 0 0]
[42900 0 0 0 0 0 0 0]
[0 29800 0 0 0 0 0 0]
[46700 0 0 0 0 0 0 0]
[43000 0 0 0 0 0 0 0]
[41000 0 0 0 0 0 0 0]
[42000 0 0 0 0 0 0 0]
[17000 0 0 0 0 0 0 0]
[30000 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 30200]
[0 0 0 0 0 13500 0 0]
[42500 0 0 0 0 0 0 0]
[42000 0 0 0 0 0 0 0]
[42000 0 0 0 0 0 0 0]
[0 30000 0 0 0 0 0 0]
[0 12500 0 0 0 0 0 0]
[49000 0 0 0 0 0 0 0]
[0 0 0 0 12000 0 0 0]
[42500 0 0 0 0 0 0 0]
[42000 0 0 0 0 0 0 0]
[0 41700 0 0 0 0 0 0]
[0 0 26500 0 0 0 0 0]
[0 0 0 0 0 0 5000 0]
[49000 0 0 0 0 0 0 0]
[42500 0 0 0 0 0 0 0]
[0 0 0 0 0 0 0 26100]
[42000 0 0 0 0 0 0 0]
[49000 0 0 0 0 0 0 0]
[42500 0 0 0 0 0 0 0]
];
